,amp1mean,amp100dstd,amp10dstd,amp100dmean,power5,amp1dskew,amp100dkurt,amp10skew,power2,power1,amp1000std,amp1000dskew,amp1skew,amp100skew,amp10dskew,amp10std,amp1000dstd,power9,power4,amp100kurt,power10,power7,amp10dkurt
BeastieBoys\03 Ch-Check It Out.mp3,0.16319641126917345,2.3680535129675224,-0.38915800043788307,0.3109838291581261,0.01323412014372581,-1.1274462223368662,-0.6348321033923005,0.25415471426583625,-0.7960195772621257,-0.5889316364397097,3.078042931793975,0.9557889247326479,-0.15968351174360704,-0.6004789782969806,-2.174370730569306,1.2370864603527374,2.9989033685745214,0.5789985903084149,0.24110452538305857,-0.604533966991041,1.499094228685782,0.8554273074220888,0.3547320242951243
BeastieBoys\04 No Sleep Till Brooklyn.mp3,0.36253361131189327,0.567455652150588,-1.1612669534206441,0.4917076294935388,0.29167777593521205,-0.5588919652382398,1.2093827721637365,-1.2079164917164367,-2.0437258267230636,-0.5124138829505702,0.47846933216176013,0.49443390729098613,-0.9633109671622982,0.6998561905042714,-0.34929934165492765,0.6130208445866262,0.5637775447410279,3.3361887015765888,0.1350734042988481,1.3517943115578608,2.580771111211575,2.1779881277932236,0.8213626194891371
BeastieBoys\05 Hey Ladies.mp3,-4.991791500522418,0.6035439356874414,-0.7405173054023316,-0.001782081710756751,0.012028533010704506,-0.42934982090038576,1.0005454662826536,-0.08129366399652113,-0.9365794947587864,-0.1445687600996585,0.5121434020480599,-1.5182970128817368,-0.47054933649885156,0.07743657203776909,0.16823673289098792,0.28691859087018956,0.5291191934535543,-0.6909597762380273,1.2985911757775979,0.9958007862747381,0.031157328238411264,0.5808074600601525,3.1009915104128574
BeastieBoys\06 Pass the Mic.mp3,-0.09483878804708923,2.2646590742859467,0.9565588349470077,-0.23491482479342868,-0.5337996626464899,-1.5044983125322506,-0.8251024044823436,0.0515681952584147,0.04656856314367899,1.4042712378624076,1.4067002050475492,0.6169281034749374,-0.23406264119336015,0.03266298818185549,1.3052637935982998,2.079057659629594,1.4316777544574675,-1.231693521264437,0.14586275241587124,-0.8210796893997737,-0.477925982210267,-0.8097278433485255,-0.31355105293566393
BeastieBoys\07 An Open Letter to NYC.mp3,0.14345584557178337,1.2268164746833994,-0.34775971252635407,0.4385773975682367,-0.8976297684763979,-0.14085865690111923,-0.40818616056369766,0.5773873959694917,0.3717988541268587,0.9401193777396081,1.0488066630017066,0.29068748550295603,-0.023108978466279975,1.0963267255785514,-0.17981195177419745,1.2544697501222217,0.9447626521254153,-0.21164560860645307,-1.1967327239285037,-0.3808648171148071,1.183261339548697,-0.4445227760960231,0.2639312425654249
BeastieBoys\08 Root Down.mp3,-0.9841484325443611,-0.1934132688962309,1.6579593481855557,-1.20215650639128,-0.7922948961626898,-0.05964620598413643,-0.7789868625666511,-1.036458210026431,0.24369322172530772,1.7799177993407125,0.12253163946680698,0.5428371401773542,-0.7455501022497703,-1.2809152377874333,0.3612622981066482,1.0468849753373566,0.17566732418229605,-1.0614182447743978,-0.5919576180503829,-0.6568214302741093,-0.5146295854075542,-1.1312968432216426,-0.0031766258817176466
BeastieBoys\09 Shake Your Rump.mp3,-5.022434719656186,1.441998486904566,0.24177694168625535,0.14007737857253855,-0.8479514937121638,-0.22994268519196728,-0.5070124744902362,-3.442488540606509,-1.2024322410034765,1.871778242569038,0.7094058199366853,0.26357981317764717,-2.031206730984663,-2.490509008419646,-0.11340715263128487,1.547969937286614,0.6638543840480423,0.12199218808195694,-0.471259825836396,-0.41049591366936083,0.5518304135367552,-0.293627565024816,1.1838519556435956
BeastieBoys\10 Intergalactic.mp3,-0.16158396134855493,2.9830718744384894,0.13737495693270463,0.17659308735978374,1.937046776222615,-0.679454427048446,-0.7126987556058064,0.6400789432433384,-1.7337412236597303,0.2246380096818889,2.535425134339911,-0.18216669799807564,0.02441862675014487,0.266946275375325,-2.115473026574913,1.790216034902511,2.369547288072341,0.5173497492608635,-0.12447854203274572,-0.6929847724109444,1.528195903329499,0.4857639692717342,1.5229614173301307
BeastieBoys\11 Sure Shot.mp3,-2.187654410641147,1.6919306245666355,1.5700759704914877,-1.9175332451666758,-0.9121739057530391,-0.4329733609829942,0.2185022695505453,0.35561557361588847,0.533275299835027,0.748151000746815,2.126483656666859,-0.5365140038921496,-0.13611929203772302,-0.7525071868466672,-1.8224661199354713,2.2253944695440673,2.0124973488900726,-0.6013666604388987,-0.2815182946353568,0.24570979841160503,0.31580981216690013,-0.5973954404709273,0.30086503053459174
BeastieBoys\12 Body Movin' (Fatboy Slim Remix).mp3,-0.13737180447940883,0.35065832434062677,0.8010263482823925,-0.17832737922115144,0.4803027522390976,-0.3354933624411311,-0.9670578179656676,-0.22054693722416038,-0.18061471234325752,0.8696639222408759,0.7996650421162448,-0.2821330080066145,-0.3193547587395627,0.24689864721277371,0.5809099955551061,1.0156086383064689,0.8251861790178215,-1.0214513440703719,0.4642149398893206,-0.9797761317745514,0.6051912483993868,-0.9321458834055419,-1.0188224419217746
