,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
Adele\11 One And Only.mp3,-3.99511,5990.2487472262865,0.2162365601364512,3.7007584650078993,0.024750049500099,3252.0631645524795,0.5054914367547114,8.837450124788289,-3.9951099999999964,4673.017673604315,0.05642231889430411,3.746312890183269,0.24866097321945935,4820.463508704876,0.045180317868781315,3.417202364476806,-3.99511,1378.011649587052,-0.050710355421584,3.28389275633388,-0.07857371474294712,2501.426846543106,0.14023379348205908,3.3870595149367717,-3.9951100000000004,141.1423785865815,-0.07830070487946855,3.3731576496336833,0.2897895791583157,258.05024424485913,0.07738869495186174,3.6743116410448606,0.295733117177661,0.18326470259221025,0.12891168122704916,0.10848043424123185,0.06817044047901885,0.06695573024985273,0.039655689806219085,0.04270943342095506,0.04468468580906887,0.021434084996733438
Adele\12 Lovesong.mp3,-0.912486,5853.585101677374,0.21165683787719963,3.5255402801344156,0.01842003684007368,2758.085305800713,0.5133886613606653,9.503089420104518,-0.9124859999999957,4586.85929146778,0.05720638570394914,3.5424221534319726,0.024926498529972113,5610.886063696008,-0.034173438694327915,3.155104686899473,-0.9124859999999995,1252.2594717914014,-0.09276536026938291,3.497127974418026,-0.06799559911981998,2348.6280090718633,-0.09304949722127484,3.517919883542787,-0.9124859999999997,111.85240849316479,-0.15076487399286703,3.9182254615238397,0.08191983967935915,192.24882979836127,-0.19414604033139032,4.3236834658491015,0.3498121675426783,0.20260813914076503,0.11324355041685617,0.08026659541624506,0.05189988278515052,0.059474241985110136,0.033661611669638145,0.02961686071561783,0.05206191340126839,0.027355036926670514
Adele\13 Chasing Pavements.mp3,-16.90197,6726.364556635042,0.0751153495283659,3.9348107987511,-0.004546009092018184,4287.475386383427,0.32714022344792254,7.939875217904861,-16.901969999999995,4953.648684107818,-0.048441113581250445,4.380911575954731,-0.24077481549631077,5606.756759831671,0.06024099562435515,3.705268436497878,-16.90197,1099.7397938266574,-0.031094900884997504,4.499217012978434,-0.30366473294658447,2014.0680481959305,0.0813811487514412,4.262677944245939,-16.901970000000002,113.0534430883956,-0.2258540916847175,4.396977263265237,-0.44241082164328666,185.88480735757372,-0.07486650994985866,4.913714041117472,0.2891138656314239,0.1803641177218753,0.08780637092544634,0.11418192171777618,0.08132155793942557,0.0799794272983775,0.04586989225367677,0.04739071782061785,0.04479987741907202,0.029172251272308596
Adele\14 I Can't Make You Love Me.mp3,-0.64183,4273.8948268014565,0.3894222925787008,4.877868152444854,0.014114028228056456,2907.0100991434874,0.830323804918794,14.131316741279047,-0.6418300000000018,2696.3938538985826,0.06664129091527933,3.71560474796021,-0.008500170003399286,3744.0242485840863,0.04401241830487007,4.1599176415220365,-0.6418300000000003,342.9563145126083,-0.05172302154618199,3.8631840964991877,-0.06901980396078998,566.3245535844247,0.0029487236886459977,4.0411557389037736,-0.6418299999999996,41.15491821725685,0.029669757929612534,3.3999616784307563,-0.02266533066132205,73.28062813476609,0.09963543193915371,3.59524823825693,0.23288870205422138,0.1922486213596269,0.15387094009917116,0.1098050248708148,0.07523194395894575,0.07233385715518036,0.04152983601513304,0.05215246658559739,0.04821594408667282,0.021722663814636327
Adele\15 Make You Feel My Love.mp3,-0.765464,3997.575930610058,0.3147685864030026,4.275143035956029,-0.001998003996007992,1625.4282242830138,1.1609986062007323,23.278302373501383,-0.7654639999999995,3054.2503670948236,0.0794810360645831,3.253124103763453,-0.049134982699653336,4208.85895060475,-0.009442197937689372,3.737582710676645,-0.765464,370.6219354036465,0.05478411222515395,3.2384313708622927,-0.108971794358871,614.8177933879567,-0.05974907337038994,3.3989806182244418,-0.7654639999999995,49.34456765663982,0.031374113000633565,3.230744036187143,-0.17388376753507037,88.26579740518784,0.06015124977265738,3.358749377883661,0.3545609622998172,0.24294059676713112,0.11732191155471089,0.0959455988809524,0.048178722008873395,0.04569280902443092,0.028837389089372483,0.024025951152901872,0.02628842362961176,0.01620763559219805
Adele\16 Someone Like You.mp3,-0.69529,4512.0212103599215,0.5082920516136297,4.2239114964726765,0.004044008088016176,2316.1547365737842,0.9422470319385524,14.859161554843798,-0.6952900000000012,3119.9128283902446,0.17185186592075768,3.2435396533086736,0.14354487089741794,4740.656514783886,-0.10343532960247775,3.349465943685412,-0.69529,304.0008708628906,0.009085437598607967,3.456033457132471,0.01541308261652359,494.4548921934004,-0.09021727765888533,3.812725024488974,-0.6952900000000002,37.202540547681686,-0.10329820364665687,3.524578449362902,0.18623647294589063,64.95162511764458,-0.15029345302547933,3.490324866274233,0.2768214400483931,0.2643849360960076,0.10659233077453602,0.10749405810399772,0.05460459443844884,0.06076269876227841,0.036521171081396485,0.03016186105751343,0.03905621662814329,0.023600693009284808
Adele\17 Rolling In The Deep.mp3,-1.389164,6872.861095000202,0.0651653010650061,3.197120206224004,0.002742005484010968,3869.8646747393736,0.4140165471354203,6.340402230156011,-1.3891639999999976,5231.181384182026,0.00011216496953635629,3.3215799310322134,-0.015482309646195059,5892.306121332042,0.026744742504042598,3.34110899807967,-1.3891640000000007,966.5675218204991,-0.05496486159925044,3.4494155964404807,-0.22149229845968665,1739.2224916821563,0.05765410645897186,3.379788154342471,-1.3891640000000003,108.05058806811329,0.2479921527980212,3.251586503357505,0.22624448897795799,177.99909088850598,0.020620408016874685,3.1872826736511084,0.31968598234210066,0.1772778946018997,0.11913052896005513,0.098886722663279,0.06702624821657968,0.061080499976064254,0.04651864581855906,0.0400699197367826,0.04098671015674085,0.029336847527939025
BeastieBoys\01 So What'cha Want.mp3,-13.342944,10571.872236682082,0.011501118085403083,3.9741650138223004,-0.028944057888115778,4376.149063511833,-0.04517265310452746,6.266929100489453,-13.342944000000005,9259.263042905619,0.0071379105593206045,4.736529638239652,-0.18165163303266207,7789.220074270353,-0.032007720710090025,4.8640101008909316,-13.342944000000012,3339.403788645041,0.25369738622835636,9.507527356899997,0.8604180836167135,6411.514617551583,-0.005226350615718257,9.7003095227885,-13.342943999999997,290.7429097609654,1.7273742962942111,14.389622241259257,-1.0762124248496983,470.7255522175443,-0.38274112296586366,10.011190386573888,0.3318605256018459,0.1671450397442311,0.12759736935041266,0.09457401671257501,0.07812068110485794,0.06337799216358783,0.047390930885215087,0.031754550032005904,0.03263776839165393,0.02554112601361509
BeastieBoys\02 Brass Monkey.mp3,0.855628,8000.142635147246,-0.048279580867835334,3.493308026251543,0.018446036892073785,3380.418091973639,0.10978115776348837,21.902632211422794,0.855627999999998,7617.2343520153245,-0.05327760636444541,3.557456503611314,0.13773875477509534,3046.75117973612,-0.17296734954802856,4.123672490325981,0.8556279999999963,4366.417183015888,-0.001835879412026995,3.3849867023845466,-1.7197879575915287,8640.753438754191,-0.0050240274122439225,3.368517744543598,0.8556280000000022,340.32227347558904,0.1474278733502663,4.377507514125114,-1.397921843687377,593.7860043699508,-0.08169201521045014,4.9805750128996715,0.2698681744406488,0.08216505923393642,0.06967642530219821,0.08704061487187226,0.08657158061887249,0.08694339419184893,0.08495313785759272,0.08910430078159313,0.07929487281071958,0.06438243989071758
BeastieBoys\03 Ch-Check It Out.mp3,-10.732922,8378.446693555039,0.02294135410105922,4.673296190167938,-0.029804059608119216,4077.2051667871297,-0.156017464693495,6.2081463997579345,-10.732921999999995,7494.150728205642,0.021154537271172336,5.215989106770228,-0.3579131582631639,4615.635742151,-0.08069342193030564,5.6847498886474,-10.732922000000004,4329.0404675462205,-0.08263008499306196,5.1628473777791015,-2.703940788157656,8279.720436158543,0.027185242063600023,5.243661870973875,-10.732921999999999,436.93567787031986,-0.4213096276055487,4.952547867509807,-0.5589879759518928,727.895132773651,0.26553690657112455,3.982112861236702,0.3039159236664465,0.14471183213100752,0.10740737240510173,0.09059598887786431,0.07091932282303548,0.07433107127158922,0.06325412739033212,0.05651073534927603,0.045492844423263346,0.042860781662083604
BeastieBoys\04 No Sleep Till Brooklyn.mp3,2.047624,6764.827397946527,-0.09843895716954838,8.846569484391193,-0.018376036752073503,3130.7969614284393,0.02086685619861899,6.408053996156674,2.047623999999997,6303.149874283583,-0.11047369752906225,10.639982218527072,-0.22621452429048614,3571.641972331967,-0.012002737723683779,6.957407659267537,2.0476240000000074,2496.069809140176,0.13311300695785142,14.154388871721041,0.1382016403280463,4510.077436098944,-0.036386799228083876,14.292551527979343,2.0476240000000017,213.97223361887546,0.5343164055170435,9.2065335448237,-0.42908216432866025,374.5723086692058,0.021036227490849803,8.909857192332279,0.31376340998249613,0.10266292270872023,0.058760618784357684,0.08374570433854879,0.07516690208528803,0.07856998896424378,0.07937949570157908,0.08251821621243871,0.0728139523967684,0.052618788825558864
BeastieBoys\05 Hey Ladies.mp3,-229.143384,7766.962376859375,-0.040400136101869245,6.508097826770998,-0.00696001392002784,4027.3240771725846,0.0745215442173036,9.304503855042052,-229.143384,6650.570500307551,-0.023306898280685297,8.573094095730696,0.04493889877797015,4822.520165845875,0.008361255545242424,11.22671646637345,-229.143384,2583.9498722631038,0.056472217724786604,10.630019483783908,0.0294298859772054,4808.174186139777,-0.05613947545073489,11.348956803613781,-229.143384,222.94513490761025,0.1428939303279622,6.259978037424542,0.10718036072144244,373.8446814151679,-0.6654879935854432,6.1180342097346845,0.3313633457945725,0.14341968121458754,0.10259851813307957,0.1030619831283964,0.07899615127925737,0.0747790319317413,0.05950985844405478,0.044913148002996714,0.032505188288159556,0.02885309378315436
BeastieBoys\06 Pass the Mic.mp3,-17.009334,10063.667997476809,0.01647027877567678,3.3216463547947717,0.017838035676071354,3189.7361601545276,-0.23545166821380392,7.140862755590524,-17.009333999999996,9218.100367549416,0.009797817472333116,3.4496647368652598,0.13990679813596416,6406.139338182497,0.05877128673209457,4.467187209144769,-17.009333999999978,4406.785668392936,0.012345277935220922,4.094199589197562,-0.83472494498899,8640.66404892712,0.007132820391418281,4.158118113294418,-17.009334000000003,292.63575469270745,-0.023528970383278162,4.743320541118405,0.15787575150300823,497.4638281665883,0.2396781269366658,4.997069724418784,0.40204080775501594,0.18060546143831338,0.08977592766455611,0.09399510400396184,0.05704318015021065,0.048958076530242964,0.03758960054270257,0.03701087896552471,0.03012251377871801,0.022858449170753494
BeastieBoys\07 An Open Letter to NYC.mp3,-4.50417,8448.318815552275,0.04861403754846138,4.501194709309815,0.02889205778411557,3091.2513911585343,0.08998821583303358,7.898258405178804,-4.504170000000001,7807.126239440247,0.055425931110046296,5.0339058360247275,0.2158503170063433,4650.925072211411,-0.004322522199471895,5.905048233091968,-4.504170000000002,3490.791291800888,0.24479443330921288,6.4743692762432214,-0.8669153830766146,6396.351497341652,0.1805126786784587,6.616763132901708,-4.504170000000002,290.6701179717604,-0.6642672748981682,6.610078665752029,-0.3929999999999997,501.197655268823,0.04376654217686273,6.368896456851468,0.3566373156174812,0.18353098761408665,0.0809305996950334,0.06739517807551558,0.06622338702457567,0.06397779683241034,0.0495550025807644,0.0494829276202146,0.04127582829719314,0.0409909766427253
BeastieBoys\08 Root Down.mp3,-53.633542,8505.341139849153,-0.04971853168237117,4.375760224368651,-0.0007000014000028,3934.5519789437353,0.08875615130411857,10.189888178639404,-53.633542,7200.975835040827,-0.08145014048449196,4.747847995771249,0.11413628272565113,7139.065377209637,0.06359286966118315,5.268476731636865,-53.63354199999999,1672.2707270776925,-0.10979686341182057,4.44768298470694,0.29363872774555233,2978.1959927960893,0.05822175245225255,4.152730474580203,-53.633542,168.93307314227204,-0.24591045659079414,4.704496112132005,0.5931843687374773,293.7638646049192,0.1894043292954641,4.90839439573344,0.3825041813115817,0.1691612778884028,0.08029566762439332,0.07819938537227655,0.07301710320045796,0.06101629436364008,0.05470750821523977,0.042394734852257775,0.03219721860938523,0.02650662856236464
BeastieBoys\09 Shake Your Rump.mp3,-234.882248,8717.244543297755,-0.250681655813304,5.766603567876642,0.013784027568055137,3227.622938362792,0.1756105748520149,11.546645459729445,-234.88224799999998,7990.609131592539,-0.3283076447864028,6.737209229575803,0.12438648772975736,5476.991518881171,0.04334945306680711,7.744031230301218,-234.882248,3379.4778898535533,-0.45073391754940856,6.489863519481818,0.19946589317862776,6239.291151536266,0.10536846540868428,6.24550621750392,-234.88224800000003,231.17666614633598,-0.11636161317116772,6.178443915412241,0.2809719438877768,386.69201717340184,0.14469337216927525,7.76779888850252,0.40644209112005497,0.1338961668885399,0.10032476212444923,0.08175999941144946,0.06216433141577909,0.059217851388962635,0.049446251797178244,0.04005600471745452,0.03786869064315455,0.02882385049297725
BeastieBoys\10 Intergalactic.mp3,-20.106054,10443.37216204893,0.057547547134621686,3.3184985464750647,0.009466018932037863,4273.625749619928,-0.06752427768446789,6.61700111046184,-20.106054000000015,9687.1299083966,0.06342696229547042,3.5773978167353495,0.046972939458796166,5753.757084477492,-0.09476619620620516,6.919565113481445,-20.106053999999993,5837.830491875526,0.05370923238251392,3.6518859781265,-0.07236647329465025,11318.121212120388,-0.019715705255451264,3.662940526453597,-20.106054000000004,441.20448572865973,0.34098645736298094,3.663177563330916,0.009230460921845728,706.1062608416162,0.10486686387815894,3.759222933346253,0.334485396265755,0.1185357500351968,0.09091729533705531,0.08124965881401708,0.08988574559624772,0.07556815298726542,0.06030366930777378,0.055997112421192465,0.046845086436101094,0.046212132799395435
BeastieBoys\11 Sure Shot.mp3,-102.624768,10303.564244961493,0.03912846789546793,4.307931219888227,-0.02748005496010992,4104.356814366724,0.014230995328357508,8.188361560652478,-102.624768,9109.341024437485,0.05231406987359476,5.042553985175992,-0.03926478529570684,7155.225332139204,-0.08745501048194973,6.021476926210895,-102.62476799999999,3663.5055763906335,-0.07459059292550362,8.473762616510761,-0.6102340468093695,6869.679523892841,-0.0633037980234389,8.503829467630199,-102.624768,316.1946183378936,-1.2333376665851494,8.225822014107806,0.15767334669338853,510.644347465663,-0.18782909186087504,6.817658874127259,0.37070038926674936,0.18290364403537196,0.08939493122947147,0.07866843494831872,0.05846515013580075,0.060176548888010266,0.047462732122787385,0.04419323010771478,0.0365949498793246,0.031439989386450505
BeastieBoys\12 Body Movin' (Fatboy Slim Remix).mp3,-17.696634,8347.476675639355,0.02869622497987222,3.0705909083690384,0.018604037208074416,4082.8717750115243,0.05163144822910698,4.446533491284789,-17.696634,6929.541616087089,0.02121186387971015,3.396308110945763,-0.012510250204998644,6251.963653854546,0.03855192792052078,3.336916775920475,-17.696634000000003,2173.374078361323,0.03542362229421437,3.8782679613162645,-0.02560312062412815,3825.319106371005,0.035265931284491576,4.09242254388582,-17.696634,230.67972513375346,0.06922852346118225,3.3243492871460454,0.548430861723449,397.22991866148294,-0.08093014709095814,3.612251946204058,0.3569955760200471,0.17683312055367348,0.10076551522799629,0.09159829149755627,0.07333889572196604,0.05833405703070585,0.03995349748576432,0.036658843932294925,0.031602221456224024,0.0339199810737718
BeastieBoys\13 Triple Trouble.mp3,545.336354,9267.45264545765,0.1395691225095815,4.9698588193397795,-0.02772005544011088,3908.8594840286255,-0.0062694000621973025,8.290107685337224,545.336354,8227.035558189364,0.20604155428695178,5.98031807979499,-0.0033100662013270826,5888.675125942611,-0.026443421944657142,5.098897306639337,545.336354,4498.500739590635,0.7895766897865246,9.13303251743482,-0.008361672334523102,8256.15020229702,-0.045864793864673924,9.129671699594752,545.336354,1065.9497947838918,2.174865240354708,7.156325475533077,0.22905410821643202,776.2778191047914,-0.08805211317664083,8.057789375806603,0.36510043707720014,0.177834322813081,0.08809905643826975,0.07418750326029801,0.07016976003667201,0.06286575257024404,0.05112091657682183,0.04722176175864798,0.03494298826471382,0.02845750120405147
BeastieBoys\14 Sabotage.mp3,-85.52933,10477.365025227848,0.01571684182424651,3.189364000330972,-0.027278054556109113,4977.822764677832,-0.0736871277713815,5.19446307203614,-85.52933,8765.641730274558,0.03890362460692663,3.2825260799178286,0.0663673273465471,7420.751718158189,0.06530983180484118,3.6667673092824606,-85.52933,2807.5550008754826,-0.11390602996184714,4.644485654353967,0.30263852770553906,5369.032044970944,0.013253660638646077,4.2649977950297835,-85.52932999999999,257.67497058978995,0.06305742120483514,3.2871095083967643,0.8181482965931857,418.2868323634146,0.022882940044551138,3.1917963606082895,0.3269383383592635,0.16545012807264883,0.1517010307780382,0.09316660792523533,0.060372683709665316,0.058821134822635936,0.04574866012248546,0.03765217009661748,0.03156490934605814,0.028584336767351885
