,power4,amp1mean,power7,amp10dstd,power1,power9,amp100dstd,amp10skew,amp1000dstd,amp1dskew
Garrett\12 New Day.mp3,-1.052498610213762,0.27740569722165226,0.9812343964286965,-0.8337420335510094,0.5394713741384553,-1.0513613278246103,-0.882028781650709,0.7346082479071013,-0.9319790863272391,-0.31228783651194536
Garrett\14 Rock Prelude.mp3,-1.0527683606135885,0.26796306934633773,1.453526473753269,0.16860108517527908,0.5612030270137383,1.4368359567578455,-0.5327166205762578,1.1355487250154632,-0.5655746777532045,-0.42994364072389896
Garrett\16 Little Wing.mp3,0.0018972422427711334,0.29443095414959625,3.462022278907603,-1.3020286118437452,-2.039975517668059,0.9168661105396518,-1.1800953585386265,-0.5152266839186536,-1.0385634638310999,-0.41313117737041327
LanaDelRey\01 Born to Die.mp3,0.639840672341612,0.6562237648343104,-1.1261538945407945,1.5715466314600743,0.25638504298451564,-1.622709800354204,0.641770279408695,-0.44989926088861454,0.3902210136770903,-0.5555091579653432
LanaDelRey\02 Off to the Races.mp3,-0.273413242139016,0.2802703470260629,0.26560374413867305,0.15031931410422544,0.6462021122563286,-0.7110329850462264,1.2525098441019575,-0.04711102685640565,0.6580223067685249,-0.8707266846533896
LanaDelRey\03 Blue Jeans (Remastered).mp3,-0.4572011789000059,0.3391320113414764,0.3119573601919691,1.2109016119836336,-0.19495228575170678,-1.272036309870503,-0.3306711697951132,-0.024930568856857974,-0.3500961329421993,-0.2125324512362092
LanaDelRey\04 Video Games (Remastered).mp3,-0.5374171567285541,0.34757438396205226,-1.0430444886576706,0.47732931831004405,0.7226436857899615,-0.5715458708359593,-1.130420092721799,-2.2785395558917125,-1.1074159449688126,2.2572693524967784
LanaDelRey\05 Diet Mountain Dew.mp3,-0.28740327784073283,0.4292550628453082,-0.38726257906884426,3.164610534054931,2.023299744948209,-1.184893587487564,0.2390985535626826,0.2183639649321244,0.5436444332494835,-0.7135367897621986
LanaDelRey\06 National Anthem.mp3,0.8691165180211173,0.19210009723621993,-0.7089439331796038,2.2380367409795765,0.029501091611972934,-1.7759653871832417,0.5534646794694332,-0.23160148249864249,0.5685518006265954,-0.46417343184242105
LanaDelRey\07 Dark Paradise.mp3,-0.4423124225115197,0.1314626729006401,-1.1662755623846557,-0.01684602042995302,0.4471440551528688,-0.06776581009163868,1.6849158700617666,0.05829763341616619,0.3313063744048873,-0.22141498163676743
